범주	file::함수	행수	도달	리뷰 태그
A	src/services/discord/recovery_engine/restore_inflight/kickoff_identity.rs::dispose_ownerless_row	1	예	-
A	src/services/discord/recovery_engine/routing_orphan.rs::cleanup_routing_orphaned_inflight	1	예	-
A	src/services/discord/recovery_engine/routing_orphan.rs::route_recovery_skip	1	예	-
A	src/services/discord/recovery_engine/two_message_panel.rs::delete_panel	1	예	-
A	src/services/discord/recovery_engine/two_message_panel.rs::recover_two_message_panel	1	예	-
A	src/services/discord/recovery_engine/two_message_panel.rs::recover_two_message_panel_with_gateway	6	예	-
A	src/services/discord/recovery_engine/two_message_panel.rs::send_panel	1	예	-
A	src/services/discord/recovery_paths/controller_cutover.rs::deliver_recovery_replace_via_controller	1	예	-
A	src/services/discord/recovery_paths/controller_cutover.rs::deliver_recovery_replace_via_controller_with_probe	1	예	-
A	src/services/discord/recovery_paths/restart.rs::recover_committed_anchor_repost	1	예	-
A	src/services/discord/recovery_paths/restart.rs::try_recover_anchor_repost	1	예	-
A	src/services/discord/relay_recovery.rs::auto_apply_relay_recovery_for_shared	1	예	-
A	src/services/discord/relay_recovery.rs::auto_apply_relay_recovery_for_shared_at	1	예	-
A	src/services/discord/relay_recovery.rs::run_relay_recovery	1	예	-
A	src/services/discord/relay_recovery.rs::run_relay_recovery_at	1	예	-
A	src/services/discord/relay_recovery_auto_heal_apply.rs::apply_relay_recovery_plan	1	예	-
A	src/services/discord/relay_recovery_auto_heal_apply.rs::apply_relay_recovery_plan_with_seams	1	예	-
A	src/services/discord/relay_recovery_circuit_breaker.rs::queue_open_alert_once_with_enqueue	1	예	-
A	src/services/discord/relay_recovery_circuit_breaker.rs::queue_or_resume_open_alert_with_enqueue	1	예	-
A	src/services/discord/restart_report.rs::flush_restart_reports	1	예	-
A	src/services/discord/restart_report.rs::send_report	1	예	-
A	src/services/discord/router/intake_dispatch.rs::dispatch_text_intake	1	불명	-
A	src/services/discord/router/intake_dispatch.rs::finish_text_intake_admission	1	불명	-
A	src/services/discord/router/intake_dispatch/attachment.rs::prepare_admitted_live_attachments	1	불명	-
A	src/services/discord/router/intake_dispatch/notice.rs::notify_blocked_intake	1	불명	-
A	src/services/discord/router/intake_dispatch/queued.rs::admit_queued_intake	1	불명	-
A	src/services/discord/router/intake_gate.rs::handle_event	19	불명	-
A	src/services/discord/router/intake_gate/component_events.rs::handle_model_picker_component_if_applicable	1	불명	-
A	src/services/discord/router/intake_gate/queue_effects.rs::notify_pending_reaction_failure	1	불명	-
A	src/services/discord/router/intake_gate/queue_effects.rs::notify_pending_reaction_failure_http	1	불명	-
A	src/services/discord/router/intake_gate/queue_effects.rs::render_visible_queued_ack	7	불명	-
A	src/services/discord/router/intake_gate/queue_effects.rs::reuse_any_queued_placeholder_for_channel	1	불명	-
A	src/services/discord/router/intake_gate/queue_effects.rs::reuse_merged_queued_placeholder	1	불명	-
A	src/services/discord/router/intake_queue_transaction.rs::commit_soft_intervention_transaction	3	불명	-
A	src/services/discord/router/message_handler.rs::finish_admitted_local	1	불명	-
A	src/services/discord/router/message_handler/attachments.rs::prepare_admitted_local_attachment	4	불명	-
A	src/services/discord/router/message_handler/busy_retry.rs::finalize_enqueue	3	불명	-
A	src/services/discord/router/message_handler/control.rs::handle_shell_command_raw	1	불명	-
A	src/services/discord/router/message_handler/control.rs::handle_text_command	2	불명	-
A	src/services/discord/router/message_handler/goal_lifecycle.rs::consume_codex_goal_lifecycle_command	1	불명	-
A	src/services/discord/router/message_handler/goal_lifecycle.rs::send_codex_goal_lifecycle_notice	1	불명	-
A	src/services/discord/router/message_handler/headless_turn.rs::start_reserved_headless_turn_with_owner	2	불명	-
A	src/services/discord/router/message_handler/intake_turn.rs::handle_text_message	14	불명	-
A	src/services/discord/router/message_handler/intake_turn/placeholder_handoff.rs::reuse_bound_busy_notice	2	불명	-
