kind	cat	name	files	depth	chain
wrapper	A	deliver_long_chunks_via_controller	src/services/discord/tmux_watcher/terminal_long_chunks.rs,src/services/discord/turn_bridge/terminal_controller_cutover.rs	4	deliver_turn_output → deliver_turn_output_with_fallback_revalidation → deliver → .send_message
wrapper	A	deliver_manual_dm_notification	src/services/discord/outbound/manual_delivery.rs	2	post_text_attachment → .send_message
wrapper	A	deliver_manual_notification	src/services/discord/outbound/manual_delivery.rs	2	post_text_attachment → .send_message
wrapper	A	deliver_meeting_message	src/services/discord/meeting_orchestrator/selection_runtime.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	deliver_monitoring_status	src/services/discord/monitoring_status.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	deliver_new_message_with_task_authority	src/services/discord/session_relay_sink/task_notification_context.rs	5	send_plain_response_chunks → send_long_message_raw_with_reference_returning_message_ids → send_channel_message_with_optional_reference → send_channel_message → .send_message
wrapper	A	deliver_outbound	src/services/discord/outbound/delivery.rs	4	deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	deliver_outbound_with_overrides	src/services/discord/outbound/delivery.rs	3	deliver_single → send_content → .edit_message
wrapper	A	deliver_pm_fallback	src/server/routes/escalation.rs	2	send_channel_message → .send_message
wrapper	A	deliver_recovery_replace_via_controller	src/services/discord/recovery_paths/controller_cutover.rs	5	deliver_recovery_replace_via_controller_with_probe → deliver_turn_output → deliver_turn_output_with_fallback_revalidation → deliver → .send_message
wrapper	A	deliver_recovery_replace_via_controller_with_probe	src/services/discord/recovery_paths/controller_cutover.rs	4	deliver_turn_output → deliver_turn_output_with_fallback_revalidation → deliver → .send_message
wrapper	A	deliver_response	src/services/discord/session_relay_sink.rs,src/services/discord/standby_relay.rs	1	.delete_message
wrapper	A	deliver_short_replace_via_controller	src/services/discord/session_relay_sink/short_controller.rs,src/services/discord/standby_relay.rs,src/services/discord/tmux_watcher/terminal_send.rs,src/services/discord/turn_bridge/terminal_controller_cutover.rs	3	deliver_turn_output_with_fallback_revalidation → deliver → .send_message
wrapper	A	deliver_single	src/services/discord/outbound/delivery.rs	2	send_content → .edit_message
wrapper	A	deliver_split	src/services/discord/outbound/delivery.rs	2	send_content → .edit_message
wrapper	A	deliver_turn_output	src/services/discord/outbound/turn_output_controller.rs	3	deliver_turn_output_with_fallback_revalidation → deliver → .send_message
wrapper	A	deliver_turn_output_with_fallback_revalidation	src/services/discord/outbound/turn_output_controller.rs	2	deliver → .send_message
wrapper	A	deliver_with_bot	src/server/outbox_actionable_delivery.rs	7	send_message_with_backends_and_delivery_options → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message
wrapper	A	dm_reply_retry_loop	src/server/mod.rs	8	retry_failed_dm_notifications → notify_source_agent → deliver_channel_message → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	drive_non_fresh_transport	src/services/discord/outbound/turn_output_controller/transport.rs	1	.send_message
wrapper	A	drive_transport	src/services/discord/outbound/turn_output_controller.rs	2	drive_non_fresh_transport → .send_message
wrapper	A	edit	src/services/discord/turn_bridge/status_panel.rs	2	edit_channel_message → .edit_message
wrapper	A	edit_bound_current_message	src/services/discord/turn_bridge/current_message_anchor.rs	2	edit_message → .edit_message
wrapper	A	edit_card	src/services/discord/task_notification_delivery/gateway.rs	6	edit_outbound_message_classified → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	edit_channel_message	src/services/discord/footer_view_reconciler/mod.rs,src/services/discord/http.rs	1	.edit_message
wrapper	A	edit_channel_message_with_components	src/services/discord/http.rs	1	.edit_message
